TOKEN,SYMBOL
5097,ETERNAL-EQ
4503,MPHASIS-EQ
11351,PETRONET-EQ
25049,PREMIERENE-EQ
21690,DIXON-EQ
1594,INFY-EQ
7229,HCLTECH-EQ
25907,WAAREEENER-EQ
24948,LTF-EQ
1624,IOC-EQ
17438,OIL-EQ
438,BHEL-EQ
275,AUROPHARMA-EQ
13538,TECHM-EQ
2955,KALYANKJIL-EQ
18457,POWERINDIA-EQ
9590,POLYCAB-EQ
11543,COFORGE-EQ
157,APOLLOHOSP-EQ
1424,HINDZINC-EQ
13786,TORNTPOWER-EQ
2963,SAIL-EQ
10217,ADANIENSOL-EQ
3411,TATAELXSI-EQ
20293,TATATECH-EQ
3787,WIPRO-EQ
7406,GLENMARK-EQ
11536,TCS-EQ
1185,AMBER-EQ
526,BPCL-EQ
1964,TRENT-EQ
10738,OFSS-EQ
18365,PERSISTENT-EQ
25780,APLAPOLLO-EQ
422,BHARATFORG-EQ
17400,NHPC-EQ
3718,VOLTAS-EQ
220,IEX-EQ
10753,UNIONBANK-EQ
11630,NTPC-EQ
11483,LT-EQ
18143,JIOFIN-EQ
3363,SUPREMEIND-EQ
10940,DIVISLAB-EQ
3456,TMPV-EQ
3518,TORNTPHARM-EQ
9683,KPITTECH-EQ
212,ASHOKLEY-EQ
14977,POWERGRID-EQ
317,BAJFINANCE-EQ
17971,SBICARD-EQ
27066,SWIGGY-EQ
1023,FEDERALBNK-EQ
3499,TATASTEEL-EQ
14366,IDEA-EQ
3506,TITAN-EQ
5900,AXISBANK-EQ
9599,DELHIVERY-EQ
1333,HDFCBANK-EQ
3045,SBIN-EQ
15332,NMDC-EQ
4244,HDFCAMC-EQ
312,TIINDIA-EQ
10666,PNB-EQ
4745,BANKINDIA-EQ
2885,RELIANCE-EQ
8479,TVSMOTOR-EQ
1348,HEROMOTOCO-EQ
31181,MCX-EQ
16669,BAJAJ-AUTO-EQ
383,BEL-EQ
3426,TATAPOWER-EQ
4963,ICICIBANK-EQ
3351,SUNPHARMA-EQ
10440,LUPIN-EQ
19234,LAURUSLABS-EQ
14592,FORTIS-EQ
14418,ASTRAL-EQ
6733,JINDALSTEL-EQ
30125,SAMMAANCAP-EQ
760,CGPOWER-EQ
2475,ONGC-EQ
4668,BANKBARODA-EQ
18921,VBL-EQ
2142,MFSL-EQ
31415,NBCC-EQ
14732,DLF-EQ
11184,IDFCFIRSTB-EQ
25510,MOTHERSON-D1
3563,ADANIGREEN-EQ
14413,PAGEIND-EQ
9552,RVNL-EQ
14309,INDIANB-EQ
1660,ITC-EQ
4717,GAIL-EQ
14299,PFC-EQ
11703,ALKEM-EQ
236,ASIANPAINT-EQ
25358,PGEL-EQ
10447,UNITDSPR-EQ
10794,CANBK-EQ
1997,LICHSGFIN-EQ
13359,KFINTECH-EQ
305,BAJAJHLDNG-EQ
2303,HAL-EQ
3273,SRF-EQ
10243,SYNGENE-EQ
694,CIPLA-EQ
2029,IRFC-EQ
6364,NATIONALUM-EQ
19257,CHOLAFIN-D1
13310,KEI-EQ
24184,PIIND-EQ
5258,INDUSINDBK-EQ
3150,SIEMENS-EQ
20242,OBEROIRLTY-EQ
9819,HAVELLS-EQ
1922,KOTAKBANK-EQ
25,ADANIENT-EQ
467,HDFCLIFE-EQ
2031,M&M-EQ
15355,RECLTD-EQ
3220,LODHA-EQ
6705,PAYTM-EQ
3063,VEDL-EQ
11195,INDIGO-EQ
1901,CUMMINSIND-EQ
13,ABB-EQ
2664,PIDILITIND-EQ
16675,BAJAJFINSV-EQ
17875,GODREJPROP-EQ
1363,HINDALCO-EQ
18096,JUBLFOOD-EQ
13528,GMRAIRPORT-EQ
1512,INDHOTEL-EQ
11723,JSWSTEEL-EQ
11287,UPL-EQ
